序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
527,600939,重庆建工,-1435104913.36,12.296390485,-1189133539.23,-82.8603907742,-48749122.38,-3.3969030366,-197224312.38,-13.7428497766,2026-04-30,20260331
544,600868,梅雁吉祥,-3555798.47,98.5667521631,-1918695.03,-53.959611215,-40650586.04,-1143.2196279673,39013482.6,1097.1792391822,2026-04-30,20260331
546,600865,百大集团,57403533.98,405.0259541582,-8850365.75,-15.4178064247,66253899.73,115.4178064247,,,2026-04-30,20260331
547,600860,京城股份,-125899420.56,-110.0138788152,-37629364.47,-29.8884334039,-10577848.11,-8.4018242999,-76541694.67,-60.7959070261,2026-04-30,20260331
550,600855,航天长峰,-136160314.32,14.1921213857,-132264097.93,-97.1385080818,-2302759.46,-1.6912119155,-1583755.08,-1.1631546886,2026-04-30,20260331
553,600846,同济科技,-740230.99,-100.376503266,-276465182.38,-37348.5014968098,-7544336.22,-1019.1867568257,283464249.08,38294.026176883,2026-04-30,20260331
555,600843,上工申贝,-358099936.23,-256.3184877085,-321914194.82,-89.8950718085,-2756.43,-0.0007697376,-21747032.32,-6.072894776,2026-04-30,20260331
556,600834,申通地铁,158966894.41,657.953951397,-7017656.18,-4.4145393958,171876396.23,108.1208743921,-5891845.64,-3.7063349963,2026-04-30,20260331
557,600833,第一医药,10887889.87,141.6263127922,8349093.08,76.6823799624,65310433.97,599.8447334589,-62678239.49,-575.6693008321,2026-04-30,20260331
560,600826,兰生股份,67068544.13,758.3428085733,-69321525.04,-103.3592214342,165448320.3,246.6854207828,-27938216.34,-41.6562141052,2026-04-30,20260331
561,600825,新华传媒,32262181.67,237.8743995481,-40802951.9,-126.473008916,83890723.58,260.0280552571,-10797594.02,-33.4682698475,2026-04-30,20260331
